Order,Latitude,Longitude,Elevation,Time
522,42.38582,-121.81412,1272.9,
523,42.38594,-121.81423,1273.0,
524,42.38605,-121.81429,1273.5,
525,42.38596,-121.81408,1274.6,
526,42.38581,-121.81385,1275.6,
527,42.38527,-121.81308,1287.0,
528,42.38486,-121.81255,1297.2,
529,42.38445,-121.81202,1308.5,
530,42.38419,-121.81176,1309.6,
531,42.38384,-121.81144,1310.6,
532,42.38384,-121.81144,1310.6,
533,42.38346,-121.81109,1310.6,
534,42.38336,-121.81092,1313.0,
535,42.38329,-121.8107,1315.9,
536,42.38327,-121.80987,1324.0,
537,42.38336,-121.80952,1327.2,
538,42.38348,-121.80934,1330.2,
539,42.38365,-121.80922,1333.9,
540,42.38389,-121.80916,1339.2,
541,42.38411,-121.80917,1343.0,
542,42.38426,-121.80926,1346.0,
543,42.38447,-121.80944,1347.3,
544,42.38462,-121.80953,1348.9,
545,42.385,-121.80961,1353.3,
546,42.3852,-121.8096,1356.5,
547,42.38557,-121.80968,1361.1,
548,42.38583,-121.80963,1364.7,
549,42.38604,-121.80954,1365.8,
550,42.38615,-121.80957,1367.4,
551,42.3862,-121.80964,1368.2,
552,42.38621,-121.80975,1369.2,
553,42.38617,-121.80987,1370.2,
554,42.38609,-121.80997,1370.7,
555,42.38582,-121.81017,1371.1,
556,42.38532,-121.81063,1375.5,
557,42.38524,-121.81076,1375.5,
558,42.38523,-121.81091,1376.1,
559,42.3853,-121.81104,1377.0,
560,42.38543,-121.81113,1379.0,
561,42.38575,-121.81117,1382.2,
562,42.38676,-121.81109,1392.4,
563,42.38711,-121.81097,1395.1,
564,42.38745,-121.81082,1398.1,
565,42.38776,-121.81074,1401.9,
566,42.38806,-121.81073,1405.4,
567,42.3885,-121.81065,1409.1,
568,42.38867,-121.81069,1410.7,
569,42.38894,-121.8108,1413.1,
570,42.38922,-121.81099,1416.2,
571,42.38971,-121.81116,1421.5,
572,42.38999,-121.81118,1424.7,
573,42.3904,-121.8113,1429.6,
574,42.3909,-121.81125,1433.7,
575,42.39143,-121.81128,1439.9,
576,42.39167,-121.81139,1442.7,
577,42.39206,-121.81164,1445.7,
578,42.39239,-121.81183,1450.0,
579,42.39283,-121.81199,1454.5,
580,42.39301,-121.81204,1456.1,
581,42.39382,-121.81215,1466.7,
582,42.39395,-121.81225,1468.2,
583,42.39401,-121.81236,1468.6,
584,42.39403,-121.81249,1468.6,
585,42.39403,-121.81259,1468.7,
586,42.39399,-121.81274,1469.5,
587,42.39391,-121.81288,1470.4,
588,42.39359,-121.81328,1473.3,
589,42.39335,-121.81366,1475.5,
590,42.39325,-121.81384,1476.4,
591,42.3931,-121.81423,1479.7,
592,42.39305,-121.81444,1481.2,
593,42.39303,-121.81466,1482.4,
594,42.39306,-121.81483,1483.5,
595,42.39314,-121.81499,1484.7,
596,42.3932,-121.81503,1485.0,
597,42.39332,-121.81505,1485.9,
598,42.39344,-121.815,1487.4,
599,42.39395,-121.81465,1492.8,
600,42.39426,-121.81447,1496.9,
601,42.39452,-121.81437,1499.7,
602,42.39498,-121.81422,1505.0,
603,42.3957,-121.81386,1509.4,
604,42.39583,-121.81382,1509.8,
605,42.39596,-121.8138,1510.6,
606,42.39607,-121.81382,1511.7,
607,42.3964,-121.81397,1515.3,
608,42.3971,-121.81439,1522.3,
609,42.39753,-121.81467,1526.8,
610,42.3981,-121.81512,1535.3,
611,42.39822,-121.81519,1536.5,
612,42.39832,-121.81522,1537.5,
613,42.39856,-121.81503,1540.6,
614,42.39861,-121.81495,1541.4,
615,42.39864,-121.81482,1542.3,
616,42.39865,-121.81466,1543.9,
617,42.39858,-121.81435,1546.8,
618,42.39847,-121.81408,1548.9,
619,42.39814,-121.81341,1550.5,
620,42.39792,-121.81307,1551.6,
621,42.39771,-121.81281,1553.6,
622,42.39741,-121.81253,1553.4,
623,42.39672,-121.81206,1553.9,
624,42.39648,-121.81188,1554.3,
625,42.39551,-121.81092,1556.2,
626,42.39501,-121.81035,1561.7,
627,42.3948,-121.81005,1566.3,
628,42.39451,-121.80951,1569.5,
629,42.39444,-121.80923,1567.8,
630,42.3944,-121.80903,1567.3,
631,42.39439,-121.80885,1567.0,
632,42.39446,-121.80849,1566.3,
633,42.39495,-121.80738,1561.0,
634,42.3951,-121.80695,1558.0,
635,42.39524,-121.80638,1553.9,
636,42.3954,-121.80595,1550.6,
637,42.39563,-121.80549,1547.7,
638,42.39579,-121.8053,1547.0,
639,42.39616,-121.805,1545.4,
640,42.39675,-121.80456,1540.6,
641,42.39825,-121.80368,1533.4,
642,42.39854,-121.80357,1530.5,
643,42.39879,-121.80353,1529.2,
644,42.39943,-121.80354,1528.8,
645,42.39967,-121.80349,1528.7,
646,42.39983,-121.80341,1528.3,
647,42.39995,-121.80331,1527.7,
648,42.40022,-121.80304,1524.6,
649,42.40042,-121.80289,1523.4,
650,42.40068,-121.80278,1522.7,
651,42.40116,-121.80263,1522.8,
652,42.4014,-121.8025,1522.8,
653,42.40175,-121.80222,1522.3,
654,42.40221,-121.80177,1521.7,
655,42.40231,-121.80163,1521.3,
656,42.4024,-121.80144,1519.7,
657,42.40248,-121.80119,1519.3,
658,42.4025,-121.80102,1518.8,
659,42.40246,-121.80083,1518.0,
660,42.40228,-121.8006,1516.3,
661,42.40194,-121.8003,1512.8,
662,42.40173,-121.80006,1512.1,
663,42.40165,-121.79994,1511.8,
664,42.40156,-121.79958,1511.7,
665,42.40147,-121.79867,1511.2,
666,42.40148,-121.7985,1511.0,
667,42.40153,-121.7983,1511.2,
668,42.40168,-121.79789,1511.4,
669,42.40189,-121.79746,1511.7,
670,42.40203,-121.79726,1510.2,
671,42.40208,-121.79715,1508.0,
672,42.40226,-121.79699,1505.2,
673,42.40302,-121.7968,1504.0,
674,42.4033,-121.79675,1503.4,
675,42.40344,-121.79675,1503.4,
676,42.40392,-121.7968,1504.1,
677,42.40456,-121.7968,1503.7,
678,42.4052,-121.79683,1503.8,
679,42.40552,-121.79687,1503.4,
680,42.40568,-121.79692,1503.4,
681,42.40582,-121.797,1503.7,
682,42.40618,-121.79728,1502.7,
683,42.40664,-121.79772,1503.2,
684,42.40685,-121.7979,1504.2,
685,42.40701,-121.79808,1504.5,
686,42.40726,-121.79851,1503.2,
687,42.4074,-121.79879,1502.5,
688,42.40747,-121.799,1502.8,
689,42.40768,-121.79928,1501.9,
690,42.40796,-121.7994,1503.3,
691,42.4082,-121.79941,1504.2,
692,42.40841,-121.79936,1504.7,
693,42.40842,-121.79936,1504.8,
694,42.40842,-121.79935,1504.7,
695,42.40854,-121.79932,1505.0,
696,42.40904,-121.7991,1504.3,
697,42.40954,-121.79887,1504.1,
698,42.41021,-121.79838,1504.4,
699,42.41094,-121.79782,1503.7,
700,42.41137,-121.79766,1503.4,
701,42.41213,-121.79763,1502.4,
702,42.41289,-121.7976,1502.2,
703,42.41365,-121.79756,1503.8,
704,42.414,-121.79759,1503.8,
705,42.41448,-121.79769,1506.7,
706,42.41465,-121.79769,1508.9,
707,42.41485,-121.79764,1510.1,
708,42.41568,-121.79726,1510.6,
709,42.41633,-121.79689,1508.5,
710,42.41661,-121.79685,1508.3,
711,42.41686,-121.79687,1509.6,
712,42.41712,-121.79699,1511.4,
713,42.4176,-121.79734,1513.7,
714,42.41776,-121.79742,1514.4,
715,42.41805,-121.79747,1515.3,
716,42.41859,-121.79777,1521.3,
717,42.41883,-121.79796,1525.6,
718,42.41942,-121.79859,1527.3,
719,42.41956,-121.79866,1528.8,
720,42.41975,-121.79859,1532.0,
721,42.42009,-121.79852,1533.3,
722,42.42027,-121.79858,1536.3,
723,42.42063,-121.79888,1539.4,
724,42.42095,-121.79937,1544.5,
725,42.42135,-121.79985,1549.4,
726,42.42182,-121.80021,1557.5,
727,42.42232,-121.80022,1559.9,
728,42.42274,-121.80047,1565.0,
729,42.423,-121.80056,1569.0,
730,42.42349,-121.80046,1570.1,
731,42.42372,-121.80059,1571.6,
732,42.42396,-121.80081,1572.6,
733,42.42423,-121.80101,1574.1,
